VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2023-01-07 19:37:49,2023-01-07 19:45:31,5,1.03,1,N,128,223,1,7.23,0.5,0.5,1.2,0.0,0.3,11.73,2.5
1,2023-01-06 13:29:07,2023-01-06 13:37:50,3,1.45,2,N,162,72,2,8.92,0.5,0.5,2.09,5.45,0.3,19.76,2.5
2,2023-01-16 08:42:48,2023-01-16 08:52:03,1,1.37,1,N,186,151,1,8.55,0.5,0.5,0.0,0.0,0.3,9.35,0.0
1,2023-01-15 11:24:57,2023-01-15 11:31:25,2,1.75,2,N,89,116,2,9.15,0.5,0.5,0.0,0.0,0.3,12.45,2.5
2,2023-01-17 19:01:25,2023-01-17 19:20:45,1,3.72,1,N,72,113,1,17.98,0.5,0.5,3.83,0.0,0.3,22.61,0.0
2,2023-01-08 19:05:03,2023-01-08 19:21:49,2,3.8,1,N,167,113,2,16.93,0.0,0.5,2.77,0.0,0.3,23.0,2.5
2,2023-01-29 11:43:47,2023-01-29 11:59:15,1,2.93,1,N,45,25,1,14.78,0.5,0.5,2.44,0.0,0.3,18.02,0.0
1,2023-01-01 11:42:16,2023-01-01 11:53:05,4,2.88,1,N,202,36,1,12.29,1.0,0.5,1.6,0.0,0.3,17.19,2.5
2,2023-01-19 19:12:30,2023-01-19 19:17:39,1,0.83,1,N,128,89,1,6.21,0.5,0.5,0.78,14.56,0.3,24.85,2.5
2,2023-01-14 17:49:44,2023-01-14 17:58:11,4,1.24,1,N,232,7,1,7.91,0.5,0.5,1.61,0.0,0.3,12.82,2.5
1,2023-01-20 18:50:11,2023-01-20 19:00:03,1,1.31,1,N,186,237,1,9.7,0.5,0.5,1.25,0.0,0.3,14.25,2.5
1,2023-01-02 21:28:35,2023-01-02 22:21:43,1,9.01,1,N,246,36,2,39.59,0.5,0.5,8.66,1.02,0.3,52.57,2.5
1,2023-01-08 23:47:27,2023-01-09 00:15:43,1,5.12,1,N,261,87,1,22.62,0.0,0.5,6.3,0.0,0.3,32.22,2.5
1,2023-01-19 08:36:26,2023-01-19 08:40:12,1,0.45,1,N,76,232,2,5.24,0.5,0.5,1.26,0.0,0.3,7.3,0.0
2,2023-01-30 10:41:26,2023-01-30 11:00:27,1,5.05,1,N,170,261,2,18.96,0.5,0.5,3.2,0.0,0.3,22.96,0.0
2,2023-01-28 21:57:06,2023-01-28 22:40:21,3,3.51,1,N,101,117,2,22.4,0.0,0.5,0.0,0.0,0.3,23.2,0.0
1,2023-01-17 18:18:08,2023-01-17 18:50:35,6,2.48,1,N,36,162,1,18.3,0.0,0.5,2.49,0.0,0.3,21.59,0.0
2,2023-01-14 19:16:08,2023-01-14 19:27:55,6,2.3,1,N,45,246,1,12.13,1.0,0.5,0.0,0.0,0.3,15.43,2.5
2,2023-01-10 07:25:21,2023-01-10 07:59:03,1,5.64,1,N,101,78,1,25.92,0.5,0.5,0.0,0.0,0.3,29.22,2.5
1,2023-01-07 19:58:18,2023-01-07 20:45:20,3,7.21,6,N,73,151,1,32.91,0.5,0.5,7.87,0.0,0.3,41.58,0.0
1,2023-01-31 21:17:57,2023-01-31 21:21:42,1,0.84,1,N,114,97,1,5.25,0.0,0.5,0.0,0.0,0.3,6.05,0.0
2,2023-01-19 01:32:21,2023-01-19 03:08:24,3,7.48,1,N,87,73,1,45.94,0.5,0.5,10.77,0.0,0.3,57.51,0.0
2,2023-01-10 22:18:21,2023-01-10 22:30:21,1,1.42,1,N,89,163,1,8.95,0.5,0.5,1.42,0.0,0.3,13.67,2.5
1,2023-01-22 15:29:22,2023-01-22 15:39:57,2,3.04,2,N,186,161,2,12.99,0.0,0.5,3.44,0.0,0.3,19.73,2.5
2,2023-01-02 20:07:22,2023-01-02 20:13:28,1,1.5,1,N,232,161,1,7.82,0.0,0.5,1.77,0.0,0.3,10.39,0.0
2,2023-01-19 19:55:34,2023-01-19 20:01:32,3,1.67,1,N,161,186,1,8.2,1.0,0.5,1.79,0.0,0.3,13.29,2.5
2,2023-01-18 12:21:02,2023-01-18 12:26:05,2,1.29,1,N,121,96,2,7.54,0.0,0.5,1.9,0.0,0.3,12.74,2.5
1,2023-01-13 21:21:03,2023-01-13 21:23:12,4,0.56,1,N,76,120,1,4.97,0.0,0.5,1.03,0.0,0.3,9.3,2.5
2,2023-01-22 20:47:48,2023-01-22 20:55:53,3,2.28,1,N,36,97,1,10.33,0.0,0.5,0.0,0.0,0.3,11.13,0.0
1,2023-01-12 13:52:54,2023-01-12 13:54:21,1,0.45,1,N,117,114,1,5.05,1.0,0.5,0.0,0.0,0.3,8.35,2.5
2,2023-01-28 06:41:43,2023-01-28 06:50:21,2,2.93,1,N,128,25,1,12.3,0.5,0.5,0.0,0.0,0.3,13.1,0.0
2,2023-01-18 07:22:57,2023-01-18 07:40:05,2,3.09,2,Y,17,36,1,14.85,0.5,0.5,0.0,0.0,0.3,18.15,2.5
2,2023-01-31 14:53:15,2023-01-31 14:59:32,3,1.47,1,N,186,67,2,8.05,0.5,0.5,1.32,0.0,0.3,12.67,2.5
1,2023-01-08 09:27:30,2023-01-08 09:37:39,1,2.34,1,N,224,114,2,11.31,0.0,0.5,0.0,0.0,0.3,12.11,0.0
1,2023-01-26 12:35:58,2023-01-26 12:39:38,1,0.53,1,N,76,103,1,5.94,0.5,0.5,0.74,0.0,0.3,9.98,2.5
1,2023-01-02 17:33:23,2023-01-02 17:43:33,1,3.17,1,N,128,234,1,14.21,0.5,0.5,0.0,0.0,0.3,15.01,0.0
1,2023-01-08 12:59:47,2023-01-08 13:14:15,2,4.77,1,N,236,63,1,18.85,0.5,0.5,2.95,0.0,0.3,25.1,2.5
1,2023-01-03 20:00:46,2023-01-03 20:15:36,1,1.69,1,N,7,246,2,11.63,0.0,0.5,2.98,0.0,0.3,17.91,2.5
2,2023-01-11 18:15:48,2023-01-11 18:23:05,4,1.49,1,N,29,100,1,7.96,0.5,0.5,1.1,11.02,0.3,23.38,2.5
1,2023-01-14 17:47:07,2023-01-14 18:02:31,4,2.25,1,N,236,114,1,12.16,0.5,0.5,2.75,0.0,0.3,18.21,2.5
1,2023-01-30 12:34:00,2023-01-30 12:45:58,2,2.31,2,N,236,103,2,11.83,0.0,0.5,0.0,0.0,0.3,12.63,0.0
2,2023-01-14 04:22:35,2023-01-14 04:27:03,1,1.13,1,N,87,73,1,6.6,0.5,0.5,0.0,0.0,0.3,9.9,2.5
2,2023-01-11 10:12:52,2023-01-11 10:25:05,1,1.52,1,N,161,234,1,9.5,0.5,0.5,0.0,5.03,0.3,17.83,2.5
2,2023-01-23 22:36:48,2023-01-23 22:42:31,1,1.05,1,N,170,237,1,7.46,0.0,0.5,1.69,0.0,0.3,9.95,0.0
1,2023-01-22 10:04:56,2023-01-22 10:19:23,1,2.84,1,N,261,158,1,12.86,0.5,0.5,3.42,0.0,0.3,19.58,2.5
2,2023-01-11 17:26:43,2023-01-11 17:36:37,1,1.75,1,N,113,33,1,9.03,0.5,0.5,1.6,0.0,0.3,13.93,2.5
2,2023-01-14 05:29:34,2023-01-14 05:40:49,1,3.79,1,N,129,79,3,15.06,0.0,0.5,2.84,0.0,0.3,21.2,2.5
2,2023-01-30 07:39:59,2023-01-30 07:55:59,5,3.73,5,N,261,36,1,15.93,0.5,0.5,2.48,0.0,0.3,21.71,2.5
2,2023-01-06 10:44:31,2023-01-06 11:02:26,1,2.96,1,N,162,63,1,14.54,0.5,0.5,0.0,10.52,0.3,25.86,0.0
1,2023-01-15 23:40:30,2023-01-15 23:44:05,2,0.52,1,N,237,103,1,4.84,0.5,0.5,0.0,0.0,0.3,5.64,0.0
2,2023-01-09 19:42:23,2023-01-09 20:22:02,1,3.79,1,N,87,161,1,21.7,0.0,0.5,0.0,0.0,0.3,25.0,2.5
1,2023-01-04 13:14:19,2023-01-04 13:45:46,1,6.32,1,N,76,87,1,26.8,1.0,0.5,5.32,0.0,0.3,32.92,0.0
2,2023-01-26 19:01:42,2023-01-26 19:16:33,2,1.65,1,N,236,87,3,10.4,0.5,0.5,2.18,0.0,0.3,15.88,2.5
1,2023-01-09 21:29:59,2023-01-09 21:46:13,2,2.13,1,N,117,162,2,12.95,1.0,0.5,1.72,0.0,0.3,15.47,0.0
2,2023-01-25 08:13:17,2023-01-25 08:52:32,3,3.45,1,N,76,63,2,21.65,0.5,0.5,4.05,0.0,0.3,26.5,0.0
2,2023-01-24 18:42:50,2023-01-24 18:46:27,1,0.56,1,N,113,162,1,6.09,0.0,0.5,0.0,0.0,0.3,6.89,0.0
2,2023-01-30 18:32:57,2023-01-30 19:56:46,2,14.7,1,N,73,247,2,60.89,0.5,0.5,7.31,0.0,0.3,71.5,2.5
1,2023-01-27 10:21:39,2023-01-27 10:36:14,1,2.19,1,N,100,234,2,12.63,0.0,0.5,2.63,0.0,0.3,16.06,0.0
2,2023-01-31 23:54:59,2023-02-01 00:04:09,1,2.01,1,N,161,29,1,11.14,0.0,0.5,0.0,0.0,0.3,14.44,2.5
2,2023-01-06 17:15:52,2023-01-06 17:28:22,2,0.72,1,N,163,17,1,8.25,0.5,0.5,0.0,0.0,0.3,11.55,2.5
2,2023-01-17 14:27:58,2023-01-17 14:51:06,1,5.55,1,N,54,186,1,23.88,0.5,0.5,0.0,1.8,0.3,28.98,2.5
2,2023-01-04 00:29:02,2023-01-04 00:41:28,1,1.21,1,N,128,224,1,9.28,0.5,0.5,1.56,0.0,0.3,14.14,2.5
2,2023-01-07 05:38:37,2023-01-07 05:48:24,1,1.54,1,N,100,79,1,8.97,0.0,0.5,1.37,0.0,0.3,11.14,0.0
1,2023-01-20 21:14:59,2023-01-20 21:31:55,2,1.98,1,N,247,79,1,13.19,0.5,0.5,1.49,0.0,0.3,17.98,2.5
1,2023-01-04 14:42:45,2023-01-04 14:59:11,2,2.93,1,N,186,79,1,14.45,0.5,0.5,0.0,0.0,0.3,15.25,0.0
1,2023-01-22 11:51:55,2023-01-22 11:54:29,3,0.5,1,N,63,158,1,4.95,0.5,0.5,0.54,0.0,0.3,6.29,0.0
1,2023-01-01 06:08:49,2023-01-01 06:37:55,3,12.01,1,N,170,250,1,39.96,0.5,0.5,6.43,12.13,0.3,59.32,0.0
1,2023-01-21 06:51:09,2023-01-21 09:01:36,3,14.02,1,N,114,86,2,70.7,1.0,0.5,19.56,0.0,0.3,91.06,0.0
1,2023-01-20 15:16:06,2023-01-20 15:36:40,1,5.42,1,N,87,247,2,22.31,0.0,0.5,3.05,0.0,0.3,26.16,0.0
1,2023-01-24 16:28:13,2023-01-24 16:33:58,1,1.2,2,N,29,87,1,6.95,0.0,0.5,1.83,0.0,0.3,12.08,2.5
1,2023-01-25 20:14:14,2023-01-25 20:26:00,1,1.92,1,N,202,101,1,10.16,0.5,0.5,0.0,0.0,0.3,10.96,0.0
1,2023-01-25 18:48:32,2023-01-25 18:49:39,1,0.2,1,N,163,161,2,3.77,0.5,0.5,0.98,0.0,0.3,8.05,2.5
1,2023-01-11 21:57:47,2023-01-11 22:13:49,1,2.53,1,N,224,246,1,12.78,0.0,0.5,2.33,0.0,0.3,18.41,2.5
1,2023-01-26 18:10:08,2023-01-26 18:17:42,1,1.07,1,N,96,45,1,6.84,0.0,0.5,0.0,11.05,0.3,21.19,2.5
2,2023-01-03 16:47:09,2023-01-03 17:20:55,2,3.78,1,N,102,45,1,20.92,0.5,0.5,0.0,0.0,0.3,21.72,0.0
1,2023-01-01 18:21:43,2023-01-01 18:42:26,3,2.74,1,N,36,223,2,15.16,0.5,0.5,2.87,0.0,0.3,18.83,0.0
2,2023-01-12 14:34:02,2023-01-12 14:48:38,3,2.94,1,N,237,161,2,14.01,0.0,0.5,1.79,0.0,0.3,19.1,2.5
1,2023-01-05 22:18:47,2023-01-05 22:41:13,1,2.86,1,N,167,97,1,16.51,0.5,0.5,2.23,0.0,0.3,19.54,0.0
2,2023-01-25 17:13:32,2023-01-25 17:20:02,4,1.09,1,N,117,162,3,6.82,0.5,0.5,0.8,0.0,0.3,10.92,2.5
1,2023-01-15 22:05:43,2023-01-15 22:14:42,2,1.07,1,N,54,76,2,7.63,0.5,0.5,2.04,0.59,0.3,11.06,0.0
1,2023-01-20 11:55:09,2023-01-20 12:12:18,1,5.18,1,N,170,132,1,20.28,0.5,0.5,5.58,0.0,0.3,26.66,0.0
2,2023-01-03 12:41:35,2023-01-03 13:06:54,3,4.6,1,N,237,163,1,20.81,0.5,0.5,4.86,0.0,0.3,28.97,2.5
2,2023-01-26 20:54:09,2023-01-26 21:04:23,1,2.28,1,N,224,97,1,10.28,1.0,0.5,0.0,0.0,0.3,11.08,0.0
2,2023-01-27 16:08:01,2023-01-27 16:38:11,1,3.18,6,N,102,234,2,18.57,0.5,0.5,0.0,0.0,0.3,21.87,2.5
1,2023-01-02 07:44:54,2023-01-02 08:01:40,1,2.56,1,N,128,158,4,13.35,0.5,0.5,2.41,0.0,0.3,19.06,2.5
1,2023-01-15 18:52:52,2023-01-15 19:02:15,1,0.91,1,N,232,186,2,7.41,0.5,0.5,1.91,7.13,0.3,19.75,2.5
2,2023-01-28 16:31:49,2023-01-28 16:37:00,2,0.91,1,N,87,121,1,7.08,0.0,0.5,1.05,0.0,0.3,11.43,2.5
2,2023-01-01 05:53:32,2023-01-01 06:08:28,2,1.2,1,N,17,162,1,9.21,0.5,0.5,1.17,0.0,0.3,13.68,2.5
2,2023-01-07 08:58:47,2023-01-07 09:16:40,1,2.56,1,N,100,261,1,14.15,0.5,0.5,0.0,0.0,0.3,14.95,0.0
2,2023-01-02 20:14:15,2023-01-02 20:44:18,4,2.72,1,N,129,53,1,17.21,1.0,0.5,2.83,0.0,0.3,23.34,2.5
1,2023-01-20 18:45:55,2023-01-20 19:56:54,1,13.34,1,N,7,89,1,54.14,0.0,0.5,14.84,0.0,0.3,72.28,2.5
2,2023-01-06 07:45:30,2023-01-06 08:44:41,1,5.89,1,N,54,101,2,31.79,0.5,0.5,0.0,0.0,0.3,32.59,0.0
2,2023-01-08 17:27:03,2023-01-08 17:56:15,1,4.2,1,N,158,86,2,20.97,1.0,0.5,5.51,0.0,0.3,29.78,2.5
2,2023-01-28 19:41:46,2023-01-28 19:45:26,1,0.81,1,N,29,234,1,6.53,0.5,0.5,0.0,0.0,0.3,7.33,0.0
2,2023-01-24 13:44:40,2023-01-24 14:06:01,1,6.95,1,N,17,59,1,26.7,0.0,0.5,2.78,0.0,0.3,32.78,2.5
2,2023-01-07 01:44:34,2023-01-07 01:47:59,1,1.73,1,N,25,101,1,8.59,1.0,0.5,1.07,0.0,0.3,12.96,2.5
1,2023-01-27 17:30:03,2023-01-27 17:31:47,1,0.44,1,N,163,63,2,4.87,0.5,0.5,1.11,0.0,0.3,6.78,0.0
1,2023-01-01 14:34:10,2023-01-01 14:41:30,1,1.23,1,N,113,232,1,7.89,0.0,0.5,0.0,0.0,0.3,11.19,2.5
2,2023-01-20 23:17:30,2023-01-20 23:38:06,1,5.06,1,N,162,33,1,20.89,0.5,0.5,3.17,0.0,0.3,27.36,2.5
1,2023-01-31 12:49:00,2023-01-31 13:15:50,1,7.8,1,N,247,117,2,29.42,0.5,0.5,3.06,0.0,0.3,33.28,0.0
1,2023-01-04 19:20:04,2023-01-04 19:40:13,1,3.95,1,N,45,25,1,17.3,0.5,0.5,4.69,0.0,0.3,25.29,2.5
1,2023-01-21 17:23:18,2023-01-21 17:57:47,1,7.41,1,N,186,120,3,29.71,0.0,0.5,4.07,0.0,0.3,34.58,0.0
2,2023-01-21 14:40:33,2023-01-21 15:02:24,2,4.32,1,N,224,128,1,19.05,0.5,0.5,3.67,0.0,0.3,26.02,2.5
2,2023-01-02 18:24:35,2023-01-02 18:43:10,2,2.21,1,N,97,29,1,13.38,0.5,0.5,3.49,0.0,0.3,17.67,0.0
1,2023-01-12 07:36:02,2023-01-12 07:51:14,1,1.99,1,N,100,224,1,11.15,0.0,0.5,2.68,9.06,0.3,26.19,2.5
1,2023-01-15 07:53:37,2023-01-15 08:00:00,2,1.44,1,N,53,63,1,9.16,0.0,0.5,2.21,0.0,0.3,14.67,2.5
1,2023-01-04 19:50:44,2023-01-04 20:03:42,1,2.8,5,N,17,163,2,13.47,0.5,0.5,0.0,0.0,0.3,14.27,0.0
1,2023-01-08 17:07:16,2023-01-08 17:30:25,2,3.24,1,N,79,128,1,16.42,0.0,0.5,0.0,11.42,0.3,31.14,2.5
2,2023-01-29 13:25:24,2023-01-29 13:37:16,6,1.47,1,N,97,236,1,9.14,0.5,0.5,0.0,0.0,0.3,9.94,0.0
1,2023-01-22 18:58:21,2023-01-22 20:07:39,2,5.76,1,N,161,54,1,34.51,0.5,0.5,3.68,0.0,0.3,38.99,0.0
2,2023-01-06 07:34:52,2023-01-06 07:40:56,2,1.16,1,N,103,232,1,5.75,0.5,0.5,1.47,0.0,0.3,8.02,0.0
1,2023-01-24 06:33:59,2023-01-24 06:46:13,4,2.84,1,N,246,129,3,12.06,0.5,0.5,2.24,0.0,0.3,15.1,0.0
2,2023-01-31 21:07:58,2023-01-31 21:39:48,1,6.53,1,N,117,7,2,27.07,0.0,0.5,2.78,0.0,0.3,33.15,2.5
1,2023-01-12 16:34:18,2023-01-12 16:54:53,2,4.92,1,N,163,202,1,20.88,0.5,0.5,4.18,0.0,0.3,25.86,0.0
2,2023-01-13 12:48:53,2023-01-13 13:32:11,4,4.72,1,N,246,117,1,25.55,1.0,0.5,4.99,0.0,0.3,31.34,0.0
1,2023-01-10 08:18:31,2023-01-10 09:28:21,1,4.95,1,N,247,117,1,32.62,1.0,0.5,4.34,0.0,0.3,40.26,2.5
1,2023-01-22 20:52:01,2023-01-22 21:10:29,2,3.43,1,N,78,151,1,16.15,0.5,0.5,0.0,0.0,0.3,19.45,2.5
1,2023-01-26 17:13:37,2023-01-26 17:42:46,1,9.07,1,N,17,163,1,33.05,0.5,0.5,0.0,8.27,0.3,42.12,0.0
1,2023-01-21 08:17:01,2023-01-21 08:29:31,2,2.28,1,N,128,100,2,11.34,0.5,0.5,2.94,0.0,0.3,17.58,2.5
2,2023-01-17 15:10:07,2023-01-17 15:24:38,1,1.43,1,N,237,67,1,9.88,0.5,0.5,1.11,0.0,0.3,11.79,0.0
2,2023-01-06 17:16:58,2023-01-06 17:34:58,2,3.87,1,N,79,151,2,16.05,0.5,0.5,3.4,0.0,0.3,22.75,2.5
2,2023-01-07 15:46:44,2023-01-07 15:52:33,1,2.73,1,N,116,132,1,11.1,0.5,0.5,2.59,10.51,0.3,25.0,0.0
2,2023-01-12 12:44:17,2023-01-12 13:01:05,1,2.65,3,N,170,114,1,15.42,0.5,0.5,0.0,0.0,0.3,16.22,0.0
2,2023-01-29 13:55:59,2023-01-29 14:20:25,1,3.57,2,N,161,224,1,17.51,0.0,0.5,3.56,0.0,0.3,24.37,2.5
1,2023-01-22 16:58:10,2023-01-22 17:02:53,1,0.82,1,N,101,162,2,5.05,1.0,0.5,1.09,3.12,0.3,12.56,2.5
2,2023-01-20 22:03:47,2023-01-20 22:12:17,2,1.48,1,N,86,114,1,8.53,1.0,0.5,1.34,0.0,0.3,10.67,0.0
1,2023-01-17 09:14:42,2023-01-17 09:53:19,1,3.55,2,N,186,33,2,22.72,0.5,0.5,0.0,0.0,0.3,23.52,0.0
1,2023-01-31 18:24:19,2023-01-31 18:52:13,1,2.68,1,N,236,234,1,16.02,0.0,0.5,1.9,12.99,0.3,31.71,0.0
1,2023-01-26 10:37:22,2023-01-26 10:50:38,3,4.06,1,N,224,45,2,16.44,0.5,0.5,0.0,0.0,0.3,19.74,2.5
2,2023-01-29 16:30:39,2023-01-29 16:39:44,1,0.94,1,N,89,232,1,7.32,0.5,0.5,1.18,0.0,0.3,11.8,2.5
2,2023-01-14 13:16:01,2023-01-14 13:25:47,1,3.08,1,N,237,234,1,12.4,0.5,0.5,2.16,0.0,0.3,17.86,2.5
2,2023-01-20 06:04:00,2023-01-20 06:15:17,4,2.82,1,N,76,102,1,12.47,0.5,0.5,3.22,0.0,0.3,16.49,0.0
2,2023-01-26 07:17:27,2023-01-26 07:45:44,2,4.05,1,N,33,97,1,20.3,1.0,0.5,0.0,0.0,0.3,21.1,0.0
1,2023-01-08 18:13:39,2023-01-08 18:15:11,2,0.48,1,N,117,45,1,4.55,0.0,0.5,0.86,0.0,0.3,8.71,2.5
1,2023-01-04 18:29:38,2023-01-04 21:22:04,1,22.64,1,N,224,96,2,102.79,0.5,0.5,19.73,0.0,0.3,125.82,2.5
2,2023-01-03 12:24:51,2023-01-03 12:29:41,2,0.7,1,N,53,100,1,6.15,0.0,0.5,0.74,0.0,0.3,7.69,0.0
2,2023-01-26 11:50:43,2023-01-26 12:36:45,1,7.21,1,N,261,232,2,32.0,0.0,0.5,7.1,0.0,0.3,42.4,2.5
1,2023-01-19 23:49:45,2023-01-20 00:00:53,1,1.66,1,N,162,170,1,9.26,0.0,0.5,0.0,0.0,0.3,10.06,0.0
2,2023-01-30 12:13:19,2023-01-30 12:43:28,2,5.66,3,N,236,54,2,24.44,1.0,0.5,6.3,0.0,0.3,34.04,2.5
1,2023-01-31 20:40:00,2023-01-31 20:44:29,1,0.78,1,N,202,113,1,5.75,0.0,0.5,0.0,0.0,0.3,6.55,0.0
1,2023-01-06 09:14:55,2023-01-06 09:19:15,1,1.19,1,N,101,224,1,6.15,0.0,0.5,1.0,0.0,0.3,7.95,0.0
2,2023-01-14 10:05:16,2023-01-14 10:21:10,3,4.21,1,N,73,129,1,18.0,0.0,0.5,3.92,0.0,0.3,25.22,2.5
1,2023-01-19 17:04:40,2023-01-19 17:27:51,1,3.06,1,N,45,237,1,16.8,1.0,0.5,2.16,0.0,0.3,22.26,2.5
2,2023-01-24 08:13:02,2023-01-24 08:34:45,1,2.78,1,N,110,54,2,15.06,0.0,0.5,3.9,0.0,0.3,22.26,2.5
1,2023-01-27 09:07:06,2023-01-27 09:23:23,3,2.28,1,N,87,87,1,13.11,0.5,0.5,1.97,0.0,0.3,18.38,2.5
2,2023-01-29 23:32:27,2023-01-29 23:38:27,1,1.17,1,N,120,96,1,7.7,1.0,0.5,1.9,0.0,0.3,12.9,2.5
2,2023-01-24 22:44:40,2023-01-24 23:10:19,2,3.45,1,N,234,113,4,16.07,0.0,0.5,2.33,13.5,0.3,32.7,0.0
1,2023-01-31 07:08:55,2023-01-31 07:27:41,1,2.72,1,N,59,117,2,14.36,0.5,0.5,1.96,0.0,0.3,19.62,2.5
1,2023-01-02 06:46:30,2023-01-02 06:53:45,1,1.54,1,N,100,116,2,8.5,0.5,0.5,2.13,0.0,0.3,11.43,0.0
2,2023-01-11 21:23:14,2023-01-11 21:45:20,2,3.17,1,N,162,186,2,16.43,0.5,0.5,2.95,0.0,0.3,22.68,2.5
2,2023-01-26 14:31:12,2023-01-26 14:35:24,1,1.03,1,N,158,63,1,6.44,0.0,0.5,1.03,0.0,0.3,10.77,2.5
2,2023-01-03 23:03:48,2023-01-03 23:58:48,4,10.54,2,N,1,202,2,42.92,0.5,0.5,7.63,0.0,0.3,51.35,0.0
1,2023-01-17 18:56:23,2023-01-17 19:18:59,1,2.63,1,N,86,59,2,14.63,0.5,0.5,1.52,0.0,0.3,16.95,0.0
1,2023-01-08 16:36:50,2023-01-08 17:10:06,4,8.82,1,N,7,17,2,33.39,0.5,0.5,0.0,0.0,0.3,36.69,2.5
